,X,file_name,speaker_title,speaker_title_clean,ai_paragraph,Marketing Knowledge,Cusomter Experience,Product,Place,Marketing Operation,Price,Promotion,Other
120526,120526,2023-Aug-02-PYPL.OQ-137834938041-transcript.txt,"Daniel H. Schulman,  PayPal Holdings, Inc. - Former Director    [3]", Former Director,"Our goal is to continually close the gap in our log-in and checkout experiences every quarter, and to be equal to or better than any competitor within the next year. We simultaneously aim to drive differentiated wallet experiences across both PayPal and Venmo. We believe that only those companies with unique and scaled data sets will be able to fully utilize the power of AI to drive actionable insights and differentiated value propositions for their customers.  ",1,1,0,0,0,0,0,0
79683,79683,2020-Jul-28-EBAY.OQ-140441509486-transcript.txt,"Jamie Iannone,  eBay Inc. - CEO, President & Director    [10]"," CEO, President & Director","          Yes. So on the first one, Doug, on the technology side, you're absolutely right, a huge focus for us. So first off, we have a really great world-class technology team and a lot of different geographies in the business. But we are focusing on augmenting that with even new capabilities. So we're building up our capabilities in AI and data science and computer vision. You may have seen features like easy image enhancing for our sellers. All that's coming out of kind of a next-gen technology group that we've been building out. But it's a key focus for us because in the tech-led reimagination, this company has been and always will be about how to create those game-changing technologies.",0,0,0,0,1,0,0,0
118202,118202,2022-Sep-06-COUP.OQ^C23-140646629444-transcript.txt,"Robert Bernshteyn,  Coupa Software Incorporated - Chairman of the Board & CEO    [3]", Chairman of the Board & CEO,"The resulting data from this spend is what fuels the third wave of our winning strategy, amplifying community value. As you may recall, community.ai can be broken into 3 areas: the pooling of customer spend, such as with Coupa Advantage; the pooling of brainpower and collaboration amongst community members; and the pooling of data through AI and machine learning, the intelligence component. ",1,0,0,0,0,0,0,0
93393,93393,2021-Jan-27-NOW.N-138500707418-transcript.txt,"William R. McDermott,  ServiceNow, Inc. - President, CEO & Director    [15]"," President, CEO & Director","But what you're looking at is the remote IT services requests growing exponentially, and many of the IT organizations out there are looking for ways to deflect lower-tier cases. So by leveraging Chatbox and streamlining processes, part of the AI capabilities are embedded in our Pro SKU. So that's one aspect of it. ",0,0,1,0,0,0,0,0
68424,68424,2019-May-02-MCHX.OQ-139220066266-transcript.txt,"Michael A. Arends,  Marchex, Inc. - CFO & Member of the Office of the CEO    [3]", CFO & Member of the Office of the CEO,"Another recent example of our progress with innovation is Marchex Sales Rescue, a new AI call monitoring, scoring and engagement solution.",0,0,1,0,0,0,0,0
142430,142430,2023-Oct-25-HSII.OQ-138679120464-transcript.txt,"Krishnan Rajagopalan,  Heidrick & Struggles International, Inc. - President, CEO & Director    [23]"," President, CEO & Director","And the third leg to our AI is all of our business processes that we've got that enable us to run more efficiently, and we're looking at all different approaches over there from simply data and analytics and taking that to the next level with gen AI. We've already kind of established a pretty good platform on technology for search, but now how can we leverage that even further, how can we combine our databases using AI to leverage information people are gathering on individuals and bring that to one spot in a far easier way. So there's all kinds of technology that's out there. ",1,0,0,0,0,0,0,0
122390,122390,2023-Aug-08-DDOG.OQ-137330510677-transcript.txt,"Olivier Pomel,  Datadog, Inc. - Co-Founder, CEO & Director    [22]"," Co-Founder, CEO & Director","In terms of hiring, I think we're still growing the company, and we're still investing. What we've done is we have moderated the rate of growth to align on the -- on what we've seen in the market. But we still consider we are very, very early in terms of the -- or our product journey. We still have a lot to build in observability. We have a lot to build in security. We have a lot to build and develop our workflows and developer experience. We have a lot to build in ITSM. There's many, many new use cases we're going after, including AI. And so we're not going to stop hiring and we're not going to stop innovating there. ",0,0,1,0,0,0,0,0
89215,89215,2021-Aug-05-INOD.OQ-140322305246-transcript.txt,"Jack S. Abuhoff,  Innodata Inc. - President, CEO & Director    [3]"," President, CEO & Director","Sure, Tim. Happy to take that question. So I think the first thing that's important to recognize and really can't be overstated is you build AI applications with data just like you build conventional applications with programmers. And that being the case, virtually any company that is looking to embrace AI and harness AI in its operations or to harness AI to deliver new experiences for its customers, has to contend with data. And data is problematic, and data is difficult to work with. We've been working with data for many, many years. We're a leading data engineering company. ",1,1,0,0,0,0,0,0
143463,143463,2023-Oct-31-LUMN.N-140747110051-transcript.txt,"Kathleen E. Johnson,  Lumen Technologies, Inc. - President, CEO & Director    [3]"," President, CEO & Director","Our NaaS product road map is industry-defining. So we'll be adding -- soon, we'll be adding API capability to allow customers to activate NaaS in their own business applications, then we'll layer in security with DDoS, and then we'll offer dynamic bandwidth capability for ultimate usage flexibility. Now together with our Edge Fabric and ExaSwitch, Lumen NaaS is setting the table for a new market category for the modern communication infrastructure platform, one that optimizes application performance across hybrid architectures of on-prem, at the edge and multi-cloud, and one that makes room for rapidly changing network needs as Gen AI becomes mainstream. We are cloudifying telecom. It's going to be disruptive to the industry, and we are playing to win.",0,1,1,0,0,0,0,0
88126,88126,2021-Apr-29-NOC.N-137050497704-transcript.txt,"Kathy J. Warden,  Northrop Grumman Corporation - Chairman, CEO & President    [35]"," Chairman, CEO & President","It has elements of communications and connectivity, which is an investment area, an area of technical excellence for our company. It has elements of computing and the advancement that's needed to process large amounts of data. It has advancements in artificial intelligence. And these are all areas that our company continues to invest in and have leadership positions in.",1,0,0,0,0,0,0,0
156814,156814,2024-Jul-22-CDNS.OQ-137365469825-transcript.txt,"Anirudh Devgan,  Cadence Design Systems Inc - President, Chief Executive Officer, Director    [3]"," President, Chief Executive Officer, Director","Our digital IC and custom businesses delivered another solid quarter. Proliferation of our digital full flow at the most advanced nodes continued, with close to 40 full flow wins over the last 12 months, especially at hyperscalers. With over 400 tapeouts, customers are increasingly relying on Cadence Cerebrus, the leading AI tool in the industry, as it continues to deliver amazing PPA and productivity benefits.",0,0,1,0,0,0,0,0
131798,131798,2023-Mar-08-OPRX.OQ-140943535406-transcript.txt,"William J. Febbo,  OptimizeRx Corporation - CEO & Director    [61]", CEO & Director,"That said, we truly believe that we have the right platform in place to deliver on the promise of improved outcomes, utilizing our solutions, in particular, RWD-AI. Moreover, our robust portfolio of omnichannel services are expanding outside of the EHR, and we continue to improve patient outcomes while driving our strong ROIs for our customers. We've also built the team and a culture as a company, which gives us a distinct competitive advantage as we focus on our clients, partners and investors.",0,0,1,0,0,0,0,0
118228,118228,2022-Sep-07-INTA.OQ-139378472925-transcript.txt,"John T. Hall,  Intapp, Inc. - Chairman & CEO    [3]", Chairman & CEO,"Alternative real estate investor Kayne Anderson, with $9 billion under management, selected DealCloud to replace a competing CRM. They told us that the increased efficiency between deal cloud and their former solution is night and day. In another example, we launched a new relationship intelligence capability across the Intapp platform. Relationship intelligence uses Intapp's applied AI technology to answer the key question, what is our firm's best way to get into this prospect firm and to navigate to this key person.",0,1,1,0,0,0,0,0
149118,149118,2024-Aug-08-NOTE.N-137000329367-transcript.txt,"Timothy Hwang,  FiscalNote Inc - Chairman of the Board, Chief Executive Officer, Co-Founder    [3]"," Chairman of the Board, Chief Executive Officer, Co-Founder","I believe that the new AI-driven feature will mean that the old ways of analyzing legislative, regulatory and geopolitical risk will become obsolete and will drive enormous opportunities for FiscalNote. As I said on our first quarter call in May, and I'll say it again, as we move through 2024, we view it as the first step in a multiyear journey to earning our place in history books and become the dominant player in our industry.",1,0,1,0,0,0,0,0
97557,97557,2021-May-10-CEVA.OQ-136974282680-transcript.txt,"Gideon Wertheizer,  CEVA, Inc. - CEO & Director    [3]", CEO & Director,"BlueBud is a self-contained platform enabled by our high runner CEVA-BX1 DSP and incorporates all the software framework and hardware peripherals required for a wireless audio system. BlueBud also offers optional value add SDKs including our WhisPro AI based voice recognition software, ClearVox, our echo cancelation and noise suppression software, and MotionEngine Hear, for IMU based user control. I am pleased to share that we have already signed up a high-volume lead customer for BlueBud at the beginning of the second quarter and are expecting more deals to follow as the product is released to the wider market. ",0,0,1,0,0,0,0,0
159148,159148,2024-Jun-06-CIEN.N-140826883988-transcript.txt,"James Moylan,  Ciena Corp - Chief Financial Officer, Senior Vice President    [4]"," Chief Financial Officer, Senior Vice President","In summary, we feel great about our business today and the continued execution of our long term strategy. We have the world's leading optical technology to underpin our growth from a portfolio perspective. We have strong and expanding relationships with both service providers and cloud providers. That combination positions us incredibly well to help our customers address the rise in global data generation and AI driven bandwidth demand that is accelerating traffic growth across their networks.",0,0,0,1,0,0,0,1
161380,161380,2024-May-01-ALKT.OQ-141192405225-transcript.txt,"Alex Shootman,  Alkami Technology Inc - Chief Executive Officer, Director    [3]"," Chief Executive Officer, Director","Customer insights and targeted offers consistently rank among the top digital banking AI use cases being activated in regional and community financial institutions today. This makes sense, given our research shows 44% of all digital banking users and 55% of millennials wish their financial provider offered a more personalized digital banking experience with half saying they're comfortable with their data being processed by AI, if it gave them a better banking experience.",1,1,0,0,0,0,0,0
111571,111571,2022-Mar-22-ADBE.OQ-136992078452-transcript.txt,"Anil S. Chakravarthy,  Adobe Inc. - President of Digital Experience Business    [5]", President of Digital Experience Business,"Our Adobe Experience Cloud applications span the entire customer funnel, from acquisition to monetization to retention, across content and commerce, customer journeys, data insights and audiences and marketing workflow. We have made the dramatic transformation to deliver AI-driven services with over 80% of Experience Cloud customers now using Adobe Sensei, our industry-leading AI and ML framework to power experiences for their customers.",0,1,1,0,0,0,0,0
44630,44630,2017-Nov-08-PEGA.OQ-141114919593-transcript.txt,"Alan Trefler,  Pegasystems, Inc. - Founder, Chairman & CEO    [3]"," Founder, Chairman & CEO","So these successes are based on key differentiators, which are meaningful, not easy to copy and go far beyond marketing hype. I think fundamental to them are 3. First, real-time AI for customer engagement. We continue to make advancements that enhance our real-time artificial intelligence offerings for clients. We announced, for example, the partnership with Accenture to offer Intelligent Customer Decisioning as a Service to improve customer engagement and marketing for communication services providers. This new AI offers and leverages Pega's Customer Decision Hub, the only battle-tested platform on the market.",0,1,1,0,0,0,0,0
92531,92531,2021-Feb-24-MAXR.N^E23-141099536101-transcript.txt,"Daniel L. Jablonsky,  Maxar Technologies Inc. - President, CEO & Director    [3]"," President, CEO & Director","Can you please turn to Slide 5. As we shift into the new year, our priorities will look pretty familiar to most of you. Our top priority is to win and earth intelligence and position the segment for sustained growth moving forward. This means we'll be focused on launching the Legion Constellation, successfully competing for the next iteration of the EnhancedView program and continuing to make investments in 3D, artificial intelligence and machine learning, our platforms, products and capabilities that accelerate sensor to decision time lines. ",0,0,0,0,0,0,0,1
159691,159691,2024-Mar-04-GTLB.OQ-139678631590-transcript.txt,"Sytse Sijbrandij,  GitLab Inc. - Co-Founder, Chairman, President & CEO    [2]"," Co-Founder, Chairman, President & CEO","GitLab Duo Pro now also includes organizational controls that help companies adopt AI responsibly, and we are now selling GitLab Duo Pro for $19 per user per month. We recently launched the GitLab AI Transparency Center to enable our customers to confidently harness the potential of AI with GitLab. The AI Transparency Center documents how we built GitLab Duo Pro to accommodate the right model for the right use cases. It also demonstrates our commitment to transparency and protection of customer data and intellectual property. ",0,0,1,0,0,0,0,0
